time,targets_hit,total_targets,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,target_x,target_y,target_z,target_yaw,distance_to_target,yaw_error,is_hitting
0.000,0,1,-0.000,-0.000,1.000,-0.000,0.000,-0.000,1.000,1.000,1.500,0.000,1.500,0.000,0
0.050,0,1,0.000,0.000,1.004,-0.012,0.012,0.001,1.000,1.000,1.500,0.000,1.499,0.001,0
0.100,0,1,0.001,0.001,1.022,-0.087,0.087,-0.003,1.000,1.000,1.500,0.000,1.492,0.003,0
0.150,0,1,0.004,0.004,1.049,-0.196,0.195,-0.017,1.000,1.000,1.500,0.000,1.479,0.017,0
0.200,0,1,0.016,0.016,1.089,-0.301,0.297,-0.034,1.000,1.000,1.500,0.000,1.451,0.034,0
0.250,0,1,0.041,0.040,1.147,-0.360,0.361,-0.034,1.000,1.000,1.500,0.000,1.402,0.034,0
0.300,0,1,0.078,0.077,1.214,-0.349,0.366,-0.009,1.000,1.000,1.500,0.000,1.335,0.009,0
0.350,0,1,0.124,0.123,1.278,-0.280,0.311,0.021,1.000,1.000,1.500,0.000,1.259,0.021,0
0.400,0,1,0.175,0.173,1.333,-0.185,0.213,0.033,1.000,1.000,1.500,0.000,1.180,0.033,0
0.450,0,1,0.228,0.226,1.374,-0.087,0.099,0.027,1.000,1.000,1.500,0.000,1.101,0.027,0
0.500,0,1,0.282,0.279,1.405,0.002,-0.005,0.012,1.000,1.000,1.500,0.000,1.022,0.012,0
0.550,0,1,0.335,0.332,1.428,0.074,-0.088,-0.001,1.000,1.000,1.500,0.000,0.945,0.001,0
0.600,0,1,0.387,0.384,1.446,0.122,-0.141,-0.006,1.000,1.000,1.500,0.000,0.870,0.006,0
0.650,0,1,0.436,0.433,1.461,0.145,-0.166,-0.005,1.000,1.000,1.500,0.000,0.801,0.005,0
0.700,0,1,0.481,0.479,1.473,0.146,-0.164,-0.001,1.000,1.000,1.500,0.000,0.736,0.001,0
0.750,0,1,0.523,0.521,1.483,0.132,-0.144,0.003,1.000,1.000,1.500,0.000,0.677,0.003,0
