time, drone_x, drone_y, drone_z, drone_roll, drone_pitch, drone_yaw, target_x, target_y, target_z, target_direction, distance_to_target, aiming_error, m1_power, m2_power, m3_power, m4_power, cumulative_energy
0.000, 0.000, -0.000, 1.001, 0.079, 0.081, -0.010, 0.000, 0.000, 2.000, 0.785, 0.999, 2.367, 1.000, 0.000, 1.000, 1.000, 3.000
0.050, 0.020, -0.092, 1.082, 0.072, -0.283, 0.447, 0.025, 0.025, 2.004, 0.785, 0.930, 1.084, 0.680, 1.000, 0.611, 1.000, 6.291
0.100, 0.022, -0.310, 1.277, -0.102, 0.218, 1.307, 0.050, 0.050, 2.008, 0.785, 0.816, 0.186, 1.000, 0.910, 0.852, 0.389, 9.442
0.150, 0.006, -0.488, 1.476, -0.097, 0.246, 1.460, 0.075, 0.075, 2.012, 0.785, 0.781, 0.011, 1.000, 0.861, 1.000, 0.926, 13.229
0.200, -0.037, -0.578, 1.627, -0.047, 0.283, 1.446, 0.100, 0.100, 2.017, 0.784, 0.794, 0.075, 0.021, 0.112, 0.000, 0.000, 13.362
0.250, -0.088, -0.569, 1.740, -0.003, 0.211, 1.369, 0.125, 0.125, 2.021, 0.784, 0.778, 0.096, 0.000, 0.001, 0.080, 0.000, 13.443
0.300, -0.127, -0.485, 1.816, -0.001, 0.105, 1.268, 0.150, 0.150, 2.025, 0.783, 0.724, 0.109, 1.000, 0.985, 0.992, 0.986, 17.406
0.350, -0.154, -0.364, 1.869, 0.013, 0.018, 1.159, 0.175, 0.175, 2.029, 0.782, 0.651, 0.138, 0.000, 0.000, 0.031, 0.041, 17.478
0.400, -0.172, -0.239, 1.909, 0.039, -0.032, 1.030, 0.200, 0.199, 2.033, 0.782, 0.588, 0.162, 1.000, 1.000, 0.962, 0.990, 21.430
0.450, -0.179, -0.133, 1.940, 0.062, -0.037, 0.890, 0.225, 0.224, 2.037, 0.781, 0.547, 0.166, 0.000, 0.170, 0.000, 0.005, 21.605
0.500, -0.173, -0.052, 1.970, 0.060, -0.030, 0.753, 0.250, 0.249, 2.042, 0.780, 0.524, 0.133, 0.000, 0.000, 0.021, 0.089, 21.715
0.550, -0.159, 0.003, 1.988, 0.054, -0.019, 0.654, 0.275, 0.273, 2.046, 0.778, 0.514, 0.096, 0.088, 0.060, 0.100, 0.069, 22.032
0.600, -0.139, 0.038, 2.002, 0.038, -0.015, 0.588, 0.300, 0.298, 2.050, 0.777, 0.512, 0.053, 0.053, 0.002, 0.000, 0.000, 22.087
0.650, -0.117, 0.056, 2.011, 0.024, -0.015, 0.557, 0.324, 0.322, 2.054, 0.776, 0.518, 0.014, 1.000, 0.941, 1.000, 1.000, 26.029
0.700, -0.094, 0.061, 2.013, 0.006, -0.008, 0.553, 0.349, 0.347, 2.058, 0.774, 0.529, 0.020, 0.000, 0.079, 0.000, 0.031, 26.138
0.750, -0.071, 0.061, 2.017, -0.004, 0.006, 0.573, 0.374, 0.371, 2.062, 0.773, 0.544, 0.037, 1.000, 0.925, 0.998, 1.000, 30.061
0.800, -0.047, 0.061, 2.023, -0.008, -0.000, 0.602, 0.399, 0.395, 2.067, 0.771, 0.559, 0.042, 0.000, 0.078, 0.000, 0.000, 30.138
0.850, -0.024, 0.064, 2.029, -0.014, 0.013, 0.629, 0.424, 0.419, 2.071, 0.769, 0.573, 0.043, 0.795, 0.693, 0.765, 0.786, 33.178
0.900, -0.000, 0.073, 2.031, -0.020, 0.014, 0.653, 0.448, 0.443, 2.075, 0.767, 0.584, 0.037, 0.000, 0.036, 0.000, 0.006, 33.221
0.950, 0.023, 0.090, 2.038, -0.018, 0.010, 0.671, 0.473, 0.467, 2.079, 0.765, 0.589, 0.027, 1.000, 0.966, 1.000, 0.963, 37.150
1.000, 0.046, 0.115, 2.041, -0.016, 0.009, 0.678, 0.498, 0.491, 2.083, 0.763, 0.589, 0.015, 0.005, 0.033, 0.000, 0.004, 37.192
1.050, 0.067, 0.146, 2.047, 0.000, 0.007, 0.675, 0.522, 0.514, 2.087, 0.760, 0.587, 0.005, 0.991, 1.000, 0.995, 0.971, 41.149
1.100, 0.089, 0.180, 2.055, 0.003, -0.003, 0.666, 0.547, 0.538, 2.092, 0.758, 0.582, 0.002, 0.000, 0.000, 0.029, 0.000, 41.177
1.150, 0.111, 0.213, 2.057, 0.006, -0.006, 0.650, 0.571, 0.561, 2.096, 0.755, 0.578, 0.003, 0.000, 0.000, 0.000, 0.027, 41.204
1.200, 0.132, 0.244, 2.061, 0.006, -0.004, 0.635, 0.596, 0.584, 2.100, 0.753, 0.576, 0.002, 1.000, 1.000, 1.000, 0.978, 45.182
1.250, 0.154, 0.273, 2.068, 0.007, -0.004, 0.621, 0.620, 0.607, 2.104, 0.750, 0.575, 0.001, 0.000, 0.018, 0.000, 0.020, 45.219
1.300, 0.175, 0.299, 2.068, 0.007, -0.004, 0.609, 0.645, 0.630, 2.108, 0.747, 0.576, 0.004, 0.994, 0.999, 1.000, 0.987, 49.200
1.350, 0.196, 0.324, 2.079, 0.003, -0.001, 0.600, 0.669, 0.652, 2.112, 0.744, 0.577, 0.007, 0.413, 0.374, 0.412, 0.411, 50.809
1.400, 0.218, 0.347, 2.078, -0.000, 0.003, 0.593, 0.694, 0.675, 2.116, 0.741, 0.579, 0.011, 1.000, 0.976, 1.000, 0.995, 54.781
1.450, 0.239, 0.371, 2.084, 0.001, -0.003, 0.587, 0.718, 0.697, 2.121, 0.737, 0.580, 0.012, 1.000, 0.987, 1.000, 0.966, 58.734
1.500, 0.261, 0.393, 2.089, 0.001, -0.000, 0.582, 0.742, 0.719, 2.125, 0.734, 0.582, 0.014, 0.609, 0.594, 0.610, 0.605, 61.152
1.550, 0.283, 0.415, 2.095, -0.003, 0.004, 0.578, 0.766, 0.741, 2.129, 0.730, 0.584, 0.016, 1.000, 0.951, 1.000, 1.000, 65.103
1.600, 0.305, 0.437, 2.104, 0.007, -0.005, 0.577, 0.791, 0.763, 2.133, 0.726, 0.585, 0.015, 0.997, 0.962, 1.000, 0.991, 69.053
1.650, 0.327, 0.459, 2.101, 0.005, -0.004, 0.572, 0.815, 0.784, 2.137, 0.723, 0.587, 0.016, 0.000, 0.000, 0.007, 0.022, 69.081
