time_seconds,targets_hit,total_targets,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,target_x,target_y,target_z,target_yaw,distance_to_target,yaw_error,is_hitting
0.000,0,1,0.000,0.000,1.001,-0.063,0.062,0.004,1.000,1.000,1.500,0.000,1.500,0.004,0
0.050,0,1,0.066,0.070,1.126,-0.234,0.127,-0.081,1.000,1.000,1.500,0.000,1.370,0.081,0
0.100,0,1,0.209,0.239,1.314,-0.130,-0.010,-0.127,1.000,1.000,1.500,0.000,1.113,0.127,0
0.150,0,1,0.360,0.451,1.426,-0.050,-0.050,-0.141,1.000,1.000,1.500,0.000,0.846,0.141,0
0.200,0,1,0.497,0.677,1.485,0.063,-0.069,-0.149,1.000,1.000,1.500,0.000,0.598,0.149,0
0.250,0,1,0.604,0.886,1.519,0.098,-0.040,-0.113,1.000,1.000,1.500,0.000,0.412,0.113,0
0.300,0,1,0.691,1.060,1.547,0.109,-0.013,-0.066,1.000,1.000,1.500,0.000,0.319,0.066,0
0.350,0,1,0.769,1.188,1.604,0.129,-0.028,-0.035,1.000,1.000,1.500,0.000,0.315,0.035,0
0.400,0,1,0.837,1.262,1.653,0.163,-0.033,-0.078,1.000,1.000,1.500,0.000,0.345,0.078,0
0.450,0,1,0.889,1.284,1.664,0.083,-0.044,-0.058,1.000,1.000,1.500,0.000,0.346,0.058,0
0.500,0,1,0.932,1.275,1.599,0.090,-0.020,-0.051,1.000,1.000,1.500,0.000,0.300,0.051,0
0.550,0,1,0.966,1.229,1.568,0.061,-0.042,-0.038,1.000,1.000,1.500,0.000,0.242,0.038,1
0.600,0,1,0.985,1.161,1.561,0.021,-0.073,-0.027,1.000,1.000,1.500,0.000,0.173,0.027,1
0.650,0,1,0.992,1.086,1.540,0.008,-0.017,0.008,1.000,1.000,1.500,0.000,0.095,0.008,1
0.700,0,1,0.995,1.014,1.550,-0.013,-0.013,0.023,1.000,1.000,1.500,0.000,0.052,0.023,1
0.750,0,1,0.993,0.950,1.521,-0.040,0.011,0.009,1.000,1.000,1.500,0.000,0.055,0.009,1
0.800,0,1,0.994,0.902,1.476,-0.055,-0.002,0.012,1.000,1.000,1.500,0.000,0.101,0.012,1
0.850,0,1,0.999,0.879,1.450,-0.057,-0.009,0.001,1.000,1.000,1.500,0.000,0.131,0.001,1
0.900,0,1,1.003,0.880,1.459,-0.033,-0.019,0.002,1.000,1.000,1.500,0.000,0.126,0.002,1
