time,drone_x,drone_y,drone_z,drone_roll,drone_pitch,drone_yaw,target_x,target_y,target_z,target_direction,distance_to_target,aiming_error,desired_x,desired_y,desired_z,desired_yaw,motor1_power,motor2_power,motor3_power,motor4_power,total_power,power_variance
0.000,-0.000,0.000,1.001,-0.032,-0.016,-0.007,0.000,0.000,2.000,0.785,0.999,1.106,-0.354,-0.354,2.000,0.000,0.911,0.405,1.000,0.095,2.411,0.137376
0.050,-0.074,-0.003,1.121,0.131,0.013,0.304,0.025,0.025,2.004,0.785,0.889,0.025,-0.329,-0.329,2.004,0.288,1.000,1.000,1.000,0.218,3.218,0.114520
0.100,-0.197,-0.055,1.355,0.108,0.054,0.404,0.050,0.050,2.008,0.785,0.706,0.000,-0.304,-0.303,2.008,0.398,0.953,0.955,1.000,1.000,3.908,0.000531
0.150,-0.288,-0.131,1.524,0.067,0.096,0.495,0.075,0.075,2.012,0.785,0.643,0.020,-0.279,-0.278,2.012,0.507,1.000,0.870,1.000,1.000,3.870,0.003186
0.200,-0.341,-0.212,1.644,0.030,0.113,0.579,0.100,0.100,2.017,0.784,0.656,0.036,-0.254,-0.253,2.017,0.607,0.995,0.863,1.000,1.000,3.858,0.003458
0.250,-0.351,-0.276,1.751,-0.014,0.137,0.655,0.125,0.125,2.021,0.784,0.679,0.044,-0.229,-0.228,2.021,0.693,1.000,0.936,1.000,0.956,3.893,0.000769
0.300,-0.331,-0.305,1.819,-0.049,0.128,0.717,0.150,0.150,2.025,0.783,0.693,0.041,-0.204,-0.203,2.025,0.753,1.000,0.880,1.000,0.994,3.875,0.002597
0.350,-0.288,-0.292,1.881,-0.046,0.071,0.759,0.175,0.175,2.029,0.782,0.674,0.030,-0.180,-0.178,2.029,0.787,0.000,0.000,0.027,0.036,0.063,0.000254
0.400,-0.236,-0.247,1.915,-0.032,0.019,0.783,0.200,0.199,2.033,0.782,0.635,0.015,-0.155,-0.153,2.033,0.798,0.990,0.972,1.000,1.000,3.962,0.000131
0.450,-0.188,-0.187,1.943,-0.026,-0.018,0.790,0.225,0.224,2.037,0.781,0.590,0.006,-0.130,-0.128,2.037,0.786,0.018,0.000,0.000,0.020,0.038,0.000093
0.500,-0.151,-0.125,1.968,-0.016,-0.033,0.776,0.250,0.249,2.042,0.780,0.553,0.025,-0.106,-0.103,2.042,0.754,0.045,0.000,0.000,0.028,0.072,0.000364
0.550,-0.126,-0.070,1.987,0.004,-0.037,0.747,0.275,0.273,2.046,0.778,0.531,0.038,-0.081,-0.078,2.046,0.714,0.000,0.000,0.001,0.032,0.033,0.000190
0.600,-0.110,-0.027,2.002,0.015,-0.027,0.712,0.300,0.298,2.050,0.777,0.525,0.040,-0.057,-0.053,2.050,0.676,0.000,0.000,0.007,0.043,0.050,0.000318
0.650,-0.097,0.004,2.013,0.014,-0.010,0.677,0.324,0.322,2.054,0.776,0.530,0.030,-0.033,-0.028,2.054,0.650,0.000,0.026,0.000,0.015,0.041,0.000118
0.700,-0.084,0.028,2.014,0.017,-0.006,0.651,0.349,0.347,2.058,0.774,0.540,0.017,-0.008,-0.003,2.058,0.636,1.000,0.981,1.000,1.000,3.981,0.000064
0.750,-0.070,0.046,2.014,0.008,0.006,0.636,0.374,0.371,2.062,0.773,0.553,0.004,0.016,0.022,2.062,0.633,1.000,1.000,0.974,0.972,3.946,0.000180
0.800,-0.052,0.061,2.024,0.002,0.008,0.630,0.399,0.395,2.067,0.771,0.563,0.007,0.040,0.047,2.067,0.637,1.000,0.966,1.000,0.974,3.940,0.000236
0.850,-0.032,0.077,2.028,0.002,0.008,0.632,0.424,0.419,2.071,0.769,0.571,0.013,0.064,0.072,2.071,0.645,0.499,0.632,0.525,0.523,2.179,0.002624
0.900,-0.009,0.095,2.033,-0.004,0.009,0.636,0.448,0.443,2.075,0.767,0.577,0.015,0.088,0.096,2.075,0.652,1.000,1.000,0.876,0.947,3.822,0.002608
0.950,0.015,0.113,2.041,0.002,0.010,0.638,0.473,0.467,2.079,0.765,0.580,0.019,0.112,0.121,2.079,0.657,1.000,1.000,0.964,0.949,3.913,0.000497
1.000,0.039,0.135,2.040,-0.004,0.004,0.643,0.498,0.491,2.083,0.763,0.582,0.017,0.136,0.145,2.083,0.661,0.000,0.022,0.000,0.000,0.022,0.000090
